ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,M_motocycle,M_car,tricycle_taxi,taxi,HND,Degree,Posgraduate
221,0,6.5,25,0,34,0,3,1,1,1.5,0.4,0,1,1,0,0,0,1,0,0
211,0,3.4,15,1,24,1,1,0,0,1.6,0.4,1,0,1,0,0,0,0,0,0
182,0,15.0,30,1,25,1,9,6,0,0.75,0.503,1,0,1,0,0,0,0,0,0
373,0,5.0,25,1,37,0,4,2,0,1.75,0.02,1,1,0,0,0,0,1,0,0
434,1,6.5,30,1,55,0,6,1,1,3.95,0.35,1,0,0,0,0,0,0,1,0
236,0,1.5,6,0,29,0,4,1,0,0.94,0.3,1,0,1,0,0,0,0,0,0
161,1,14.3,40,1,38,0,6,2,0,1.8,0.12,1,0,1,0,0,0,1,0,0
63,1,10.4,35,1,38,0,6,4,1,3.32,0.6,0,0,0,0,0,0,0,1,0
228,1,2.0,15,1,23,1,1,0,0,0.871,0.1,1,0,0,0,0,1,0,0,0
270,0,15.0,30,0,36,0,6,4,0,1.2,0.1,1,0,1,0,0,0,1,0,0
237,1,1.0,5,1,38,0,5,2,1,1.4,0.1,1,1,1,0,0,0,1,0,0
103,1,10.0,15,1,39,0,6,3,1,2.3,0.8,0,0,0,0,0,0,1,0,0
141,1,3.0,15,1,56,0,28,6,1,2.8,0.4,1,1,0,0,0,0,0,1,0
10,1,5.0,7,1,48,1,1,0,0,1.25,0.15,0,0,0,0,0,0,1,0,0
195,1,2.5,30,0,28,0,3,0,0,1.5,0.2,0,0,1,0,0,0,0,0,0
190,0,5.0,15,1,31,1,1,0,0,0.7,0.15,1,0,1,0,0,0,1,0,0
367,0,7.5,45,1,48,0,4,2,0,1.75,0.15,1,1,1,0,0,0,1,0,0
3,1,3.0,7,1,55,0,4,1,0,1.5,0.03,1,0,1,0,0,0,1,0,0
31,1,6.5,17,0,42,1,7,3,0,1.2,0.0,0,1,0,0,0,1,1,0,0
405,1,5.8,30,0,34,1,2,1,0,1.15,0.095,0,1,0,0,1,0,0,0,0
244,1,20.0,20,0,42,0,5,3,0,0.4,0.08,1,1,1,0,0,0,0,0,0
167,1,10.0,20,1,34,0,5,3,0,0.9,0.1,1,1,1,0,0,0,1,0,0
106,0,5.0,15,0,29,0,2,0,0,1.2,0.1,1,0,1,0,0,0,0,0,0
336,0,10.7,26,0,32,1,1,0,0,0.95,0.055,1,1,0,0,1,0,0,0,0
152,0,3.0,14,1,33,0,2,0,0,1.2,0.2,1,0,1,0,0,0,1,0,0
136,0,4.0,15,1,35,0,4,1,1,3.2,0.1,0,1,0,1,0,0,0,1,0
251,1,15.0,25,0,29,0,3,0,1,1.85,0.075,0,1,1,0,0,0,0,1,0
271,0,6.0,20,0,33,0,7,4,0,0.92,0.05,1,0,1,0,0,0,1,0,0
201,0,2.0,8,1,44,0,13,8,0,0.52,0.05,1,1,1,0,0,0,0,0,1
374,1,5.0,20,1,27,1,1,0,0,1.45,0.09,1,1,1,0,0,0,0,0,0
115,1,10.0,15,1,28,1,1,0,0,0.56,0.1,0,0,1,0,0,0,0,0,1
98,0,3.0,20,1,30,0,5,3,1,3.2,0.3,1,0,1,0,0,0,0,1,0
147,0,17.0,50,1,31,0,3,1,0,0.7,0.6,1,1,0,0,0,0,0,0,0
100,1,10.0,30,0,29,0,3,1,0,0.65,0.1,1,0,1,0,0,0,0,0,0
4,1,5.0,10,1,34,0,4,1,0,1.35,0.025,1,0,1,0,0,0,1,0,0
43,1,7.0,12,1,47,0,9,5,1,3.7,0.5,1,1,0,0,0,0,0,1,0
313,1,2.6,15,1,32,1,1,0,0,1.25,0.2,1,1,1,0,0,0,1,0,0
238,1,3.0,12,1,36,0,6,3,0,0.95,0.08,1,0,0,0,1,0,0,0,0
160,1,1.0,4,1,32,1,1,0,0,0.45,0.07,1,1,1,0,0,0,0,0,0
70,1,1.0,5,1,52,0,4,2,1,2.75,0.35,0,0,0,0,0,0,0,1,0
368,0,3.8,35,0,37,0,5,3,0,1.65,0.03,1,0,0,0,0,0,1,0,0
274,1,6.0,60,0,40,0,5,3,0,0.85,0.1,1,0,1,0,0,0,0,0,0
52,1,4.0,11,1,43,0,4,1,1,3.45,0.12,0,1,1,0,0,0,0,1,0
108,1,7.5,23,0,28,1,6,2,0,1.0,0.1,0,1,0,1,0,0,0,0,0
45,0,10.0,25,1,40,0,7,4,1,2.6,0.45,1,0,0,0,0,0,0,1,0
380,1,3.5,15,1,34,0,4,2,1,2.0,0.15,1,1,1,0,0,0,1,0,0
437,1,5.6,25,0,42,0,5,3,1,3.52,0.4,0,0,0,0,0,0,0,1,0
193,0,2.3,10,1,35,0,4,2,1,2.2,0.35,0,0,0,0,0,0,1,0,0
260,1,10.0,20,0,26,1,1,0,0,0.98,0.2,1,0,1,0,0,0,0,0,0
310,0,8.6,30,0,37,0,3,3,1,1.0,0.4,1,0,0,0,0,0,0,0,0
416,1,2.5,15,0,45,1,1,0,0,1.5,0.04,1,0,1,0,0,0,1,0,0
127,1,18.0,46,1,35,0,6,3,0,1.5,0.8,1,1,1,0,0,0,1,0,0
107,0,1.0,5,1,37,0,5,3,1,2.5,0.5,0,0,0,0,0,0,0,1,0
387,0,4.6,15,0,41,0,6,2,1,2.4,0.35,0,1,0,0,0,0,0,1,0
351,0,4.5,33,1,41,0,5,3,1,2.15,0.12,1,1,1,0,0,0,1,0,0
74,0,1.0,3,1,28,1,12,3,0,0.75,0.0,1,0,0,0,0,1,1,0,0
125,0,4.5,12,1,23,1,8,4,0,0.6,0.0,1,1,0,0,0,1,0,0,1
352,0,3.2,25,0,39,0,5,2,1,1.73,0.12,0,1,1,0,0,0,1,0,0
199,1,2.5,6,0,25,0,4,1,0,0.75,0.002,1,1,0,1,0,0,0,0,0
227,1,3.0,10,1,24,1,1,0,0,0.871,0.15,1,0,1,0,0,0,0,0,0
301,0,4.1,35,1,24,1,1,0,0,0.72,0.20800000000000002,0,0,0,0,0,1,0,0,0
148,0,1.0,5,1,41,0,7,5,0,0.75,0.1,1,0,1,0,0,0,1,0,0
276,1,10.0,20,0,31,0,4,2,0,1.12,0.1,1,1,1,0,0,0,1,0,0
395,0,8.3,25,0,33,0,4,2,1,2.25,0.25,1,0,0,0,0,0,0,1,0
210,1,3.4,15,0,28,1,3,1,0,1.5,0.08,0,0,1,0,0,0,0,0,0
235,0,2.5,10,0,31,0,6,4,1,1.6,0.4,0,0,0,0,0,0,1,0,0
9,0,3.4,10,1,36,0,3,1,0,0.85,0.12,1,0,1,0,0,0,0,0,0
334,0,3.5,15,0,45,1,6,4,0,0.35,0.04,0,1,0,0,1,0,0,0,1
268,1,6.4,15,0,58,1,6,4,1,3.1,0.1,1,1,1,0,0,0,0,0,0
133,1,5.0,6,1,33,0,3,0,1,5.0,1.0,1,0,0,0,0,0,0,1,0
110,0,4.2,8,0,29,0,2,0,0,1.2,0.1,0,0,1,0,0,0,1,0,0
223,0,1.5,1,0,25,0,5,3,0,0.79,0.2,1,0,1,0,0,0,0,0,0
281,1,8.0,30,0,30,0,3,1,0,0.75,0.1,1,0,1,0,0,0,0,0,0
47,1,13.5,40,1,38,0,7,4,1,3.35,0.4,1,1,0,0,0,0,0,1,0
234,0,2.5,15,0,29,1,1,0,1,1.8,0.2,0,0,0,1,0,0,1,0,0
342,1,7.8,15,0,39,0,3,1,1,1.95,0.3,1,1,0,0,0,0,1,0,0
384,1,4.1,25,0,26,1,1,0,0,1.2,0.06,1,1,0,0,1,0,1,0,0
414,0,8.5,45,1,39,0,5,3,1,3.75,0.25,1,0,0,0,0,0,0,1,0
232,1,4.0,20,1,35,0,5,2,1,1.3,0.15,0,1,1,0,0,0,0,0,0
